State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute
Alabama,143.4,135.0,140.0,140.9,143.6,145.0,147.5,149.0,141.2,121.2,133.6,130.5,124.0,121.2,123.4,119.9,114.6,109.1,112.9,-21.3%,-30.5
Alaska,44.6,43.7,43.9,43.9,47.2,48.5,46.2,44.5,39.9,38.2,38.0,37.8,36.9,34.8,34.5,35.5,33.9,34.3,35.0,-21.5%,-9.6
Arizona,86.7,89.2,88.6,90.5,97.8,97.7,100.9,102.8,103.3,94.2,99.2,97.3,95.3,99.0,97.0,94.7,90.6,90.0,93.6,7.9%,6.9
Arkansas,64.0,63.3,61.9,62.5,63.1,60.7,62.6,63.9,64.8,62.0,66.2,67.6,66.5,68.8,69.2,59.4,62.4,64.3,70.9,10.7%,6.9
California,378.3,383.4,381.8,370.3,389.4,385.7,394.7,399.3,383.5,369.7,356.1,341.4,347.8,348.3,344.0,351.0,351.8,354.2,355.5,-6.0%,-22.8
Colorado,85.3,93.6,91.8,91.2,94.4,96.4,97.5,100.1,98.1,93.9,96.5,93.0,91.9,92.6,93.4,91.9,88.9,89.0,90.3,5.9%,5.0
Connecticut,43.1,41.9,40.3,43.0,45.0,44.3,41.3,40.5,37.9,36.1,36.6,35.1,34.5,34.8,35.2,36.5,34.2,33.9,37.5,-13.1%,-5.7
Delaware,16.1,15.6,15.4,15.9,16.2,16.9,15.9,16.7,15.8,12.1,11.8,12.6,13.7,13.3,13.0,13.1,13.7,12.9,13.3,-17.4%,-2.8
District of Columbia,4.3,4.1,4.2,3.9,4.0,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.7,2.8,3.0,3.0,2.8,2.6,2.9,-33.6%,-1.4
Florida,241.2,240.3,243.7,247.8,259.9,262.7,261.3,258.7,240.4,225.7,246.7,233.3,228.4,227.9,234.1,238.6,239.8,238.8,242.5,0.6%,1.3
Georgia,169.8,162.3,167.2,170.3,176.0,186.3,183.8,186.3,173.7,163.5,176.0,160.6,142.7,143.8,149.1,146.7,145.4,142.2,142.4,-16.2%,-27.4
Hawaii,18.9,19.4,20.6,21.6,22.6,23.2,23.5,24.3,19.5,19.1,20.4,20.6,20.3,20.1,19.4,19.6,19.8,20.4,20.5,8.4%,1.6
Idaho,15.7,15.7,15.1,14.5,15.8,15.9,15.9,16.4,15.6,15.2,16.1,15.8,15.7,17.1,16.7,17.9,18.3,18.6,18.9,20.2%,3.2
Illinois,233.7,225.3,227.8,231.3,239.2,245.0,237.0,244.5,243.2,227.6,234.3,232.7,219.9,233.2,236.7,219.0,206.6,204.7,211.5,-9.5%,-22.2
Indiana,238.8,228.8,231.9,237.8,237.8,236.4,234.4,233.9,229.6,206.3,216.8,208.7,194.5,199.6,205.2,185.8,181.4,175.6,188.3,-21.2%,-50.5
Iowa,79.8,78.8,79.6,79.2,81.5,81.3,82.7,87.9,91.8,86.7,91.1,87.9,81.7,82.8,83.9,77.9,74.4,76.7,82.6,3.5%,2.8
Kansas,76.2,72.0,77.2,78.9,76.1,72.5,72.7,80.4,75.1,73.2,72.1,70.2,65.6,69.3,69.8,63.9,61.9,58.3,62.1,-18.5%,-14.1
Kentucky,145.0,146.8,147.6,143.6,149.4,151.5,153.9,154.3,152.0,141.4,151.4,150.6,139.7,138.7,139.3,129.4,124.2,115.0,120.8,-16.7%,-24.2
Louisiana,225.6,198.8,208.1,203.6,214.0,206.2,212.9,213.5,215.5,201.0,206.5,210.6,200.3,192.4,190.0,190.6,193.0,199.1,198.7,-11.9%,-26.9
Maine,22.4,22.6,24.1,23.8,24.2,23.2,21.4,21.1,19.2,18.5,17.7,17.2,15.6,16.3,16.4,16.6,16.1,15.3,14.7,-34.4%,-7.7
Maryland,77.9,77.8,77.8,80.6,81.6,83.6,78.7,78.9,75.1,71.7,71.3,66.7,62.4,61.6,64.2,62.3,60.4,54.8,61.5,-21.1%,-16.4
Massachusetts,82.9,82.8,83.7,85.0,83.6,85.0,77.1,80.4,77.2,70.6,73.1,69.0,62.9,66.8,65.4,67.2,64.5,65.0,64.4,-22.3%,-18.5
Michigan,195.3,191.4,190.8,187.5,190.4,192.2,181.0,183.0,176.7,165.4,168.1,162.9,156.2,164.5,164.3,165.0,154.7,155.4,163.6,-16.2%,-31.7
