year,coal,natural gas,nuclear,renewables,petroleum and other
1990,1594,373,577,357,137
1991,1591,382,613,358,131
1992,1621,404,619,327,113
1993,1690,415,610,357,125
1994,1691,460,640,337,120
1995,1709,496,673,385,90
1996,1795,455,675,423,96
1997,1845,479,629,434,105
1998,1874,531,674,400,141
1999,1881,556,728,399,130
2000,1966,601,754,356,124
2001,1904,639,769,288,137
2002,1933,691,780,343,111
2003,1974,650,764,355,141
2004,1978,710,789,351,142
2005,2013,761,782,358,142
2006,1991,816,787,386,85
2007,2016,897,806,353,85
2008,1986,883,806,381,63
2009,1756,921,799,418,57
2010,1847,988,807,427,56
2011,1733,1014,790,513,49
2012,1514,1226,769,495,44
2013,1581,1125,789,522,49
2014,1582,1127,797,539,50
2015,1352,1333,797,544,50
2016,1239,1378,806,609,44
2017,1206,1296,805,687,40
2018,1149,1469,807,707,46
2019,965,1586,809,728,39
2020,774,1617,790,792,36
